id,api,# completed (subtask level),# completed (notes),techDiff,has-concept,has-fact,has-template,What information or strategies did you find most helpful?,What additional information would you have wanted?,Notes,Annotations,Nothing,Documentation,Code,TMI,Time,Search,PrevKnowledge,Experiment,PL knowledge,InfoFromDebugger,Other notes
43,Natural,,0,FALSE,FALSE,FALSE,FALSE,* Looking at how the output changed in the example text with modifications to the function call. * Testing different parameters to see hwo that would change the output * Reading the comments on the code I was manipulating to understand what functions were returning as well as what the logic was behind all the functions.,"* What parameters functions took in with the example code * What the different types of variables meant for the example code * Definitions of technical terms such as ""node"", ""n.gram"", ""chainsawas"", ""tokenize"", etc.",0,F-W-Sp C-W-Sp,,,TC-Cm-U,,,,,Exp-U,,,
44,Natural,,0,FALSE,TRUE,TRUE,FALSE,I wasn't able to quickly grasp the subject matter for this test and spent a lot of tiem just being confused. But I guess it was helpful that the JS that didn't use the library looked familiar to me,0,0,,,,,,,,,,PL-U,,
45,Natural,,0,FALSE,TRUE,TRUE,TRUE,The examples in the packet and the annotations in the example code.,"More information about NGrams and a clearer description / example of how to change ""n"", because it took me a long time to realize that it was a second parameter of ngrams.",0,A-U C-W-Sp F-W-Sp,,TD-U,EC-W,,,,,,,,
46,Natural,,0,FALSE,TRUE,TRUE,TRUE,The most helpful thing here was just messing iwth the code. I found the annotated example kinda useless.,An annotated example that makes more sense than the one provided.,0,,,,EC-X EC-W,,,,,Exp-U,,,
47,Natural,,0,FALSE,TRUE,FALSE,TRUE,Having the annotated code as well as [?] commenting and explanation on what the current code was.,explanation on what each abbreviation meant (i.e. tfidf etc.) in a more visible area rather than at the bottom as I didn't see it until the end. [?] just a but more explanation on existing code.,0,,,,EC-U TC-Cm-U Cm-W,,,,,,,,Order of annotations
48,Natural,,0,FALSE,FALSE,FALSE,FALSE,the example code included many examples for the same functions so even without any documentation I was able to understand how to set up something,annotations for less obvios functions and tools,0,"A-W F-W-Sp
",,,EC-U,,,,,,,,
51,Natural,,0,FALSE,TRUE,TRUE,TRUE,The annotations were the best way to learn about how tekenization / ngrams worked in this library. All types of annotations were useful. CTRL+F was limited b/c it was unclear what to search for.,Compartmentized example code. A massive block of example code is overwhelming / hard to sift throughmost of the time. Having separate [?] for diffirenet [?] of code would have made examples much easier to use.,0,A-U C-U T-U F-U,,,EC-W,,,S-X,,,,,
54,Natural,,0,FALSE,FALSE,FALSE,FALSE,"""- seeing code examples w/ input/output - no annotations were shown so I heavily relied on infering from the example code""","""- annotations? - background knowledge on what the library is used for""",0,A-W C-W-Sp,,OD-W,EC-U,,,,,,,,
57,Natural,,0,FALSE,TRUE,TRUE,TRUE,Actually reading the concept(s) was actually (or would have been helpful). Trying to brute force a solution looking only at the existing code proved futile because I didn't know what the list of n-grams actually was.,"I didn't get past task 1 because I asssumed I just needed to modify the indicated code, but I'm rpetty sure I had to change bookNgrams to be a collection of larger n-gramas instead of trigrams for the task to be possible. Can't speak about the rest of the tasks.",0,C-U,,,TC-X,,,,,,,,
60,Natural,,0,FALSE,TRUE,TRUE,TRUE,"Concept definitions were helpful, but I wasn't able to use templates much because I was still struggling to figure out how to get only the words that were most common next to character names. The example doucmentation was helpful but the instructions were too vague.",I would have wanted more clarification for the task #2. I spent more time trying to figure ou what I was supposed to do than using the Example code resources.,0,C-U T-X,,TD-W TD-X,EC-U,,,,,,,,
61,Natural,,0,FALSE,FALSE,TRUE,TRUE,"The examples made sense because I am somewhat familiar with tfidf, but the 3 different templates without clear explanations of the differences between each was quite confusing. In particular, I just needed more time because the amount of information in teh annotations was overwhelming.","The different uses of TFIDF were confusing, even though I'm somewhat familiar with it. The document exampels weren't too helpful. It would have been more useful to have an explanation of what TFIDF is used for and what you may want to learn from using it.",0,T-X C-W-Sp,,,EC-U EC-X,TMI,Ti-W,,PK-C-U~,,,,
67,Natural,,0,FALSE,FALSE,FALSE,FALSE,"The comment in js file is helpful. I had some knowledge about Ngram, so I know what they do. The annotated code is helpful when I need to know what the input parameters for ngram() are.","Task2. I was confused which funciton would help groupin the strings. I believe if I had read the annotated code more carefully, I might find the function I need.",0,,,,EC-U Cm-U,,,,PK-C-U,,,,
69,Natural,,0,FALSE,FALSE,TRUE,FALSE,"""- variable + function name is very useful in this one because there are a lot of repeating code - ""Fact"" in the right is somewhat helfpul. The parameters in teh code side explains most of them. - the comments in teh code are also useful.""","""-""",0,F-U~,,,Cm-U VN-U FN-U,,,,,,,,
2,OpenLayers,,0,FALSE,TRUE,FALSE,TRUE,All the template & the [?] example code & also the graphical comparison are all really helpful for finishing the task,More example for each of the function & the detail of parameter would be really helpful,0,T-U F-W-Sp,,,EC-U EC-W,,,,,,,,
3,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,I didn't realize what to do until read through example code and try to understand example code first. I felt so confused though into this task without additional information,I'd like to have more comments or instructions that can guide me at the start,0,,,TD-W,EC-U Cm-W,,,,,,,,
4,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,* Concepts * Facts * Template * Example code which was similar to source code,"* Comments in both example and source code * What some of the codes meant (ESRI, ESPG, etc.) * More defined words (ex: extent, worldextent, Projection, Stroke, etc.)",0,C-U F-U T-U C-W-Sp,,,EC-U EC-Cm-W TC-Cm-W,,,,,,,,
5,OpenLayers,,0,FALSE,FALSE,TRUE,TRUE,"""- Reading all of the documentation first - using the search bar""","""- additional debugging would have been useful - more info on teh codes and ID's of the various functions""",0,F-W-Sp C-W-Sp,,D-U,,,,S-U,,,,Db-W,
6,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,"""- Reading the annotated code example helped the most, by far, for this specific example - Mimicking the example in my own code & viewing the changes in the second tab""","""- Nothing in particular, the given annotations were sufficient""",0,,N-W,,EC-U,,,,,Exp-U,,,
7,OpenLayers,,0,FALSE,FALSE,TRUE,FALSE,Using the source code and taking parts of what I needed to learn what each function does,Field values and descriptions of what they are. I don't know what an SRS identifier code is or how it would affect the map.,0,F-W-Sp C-W-Sp,,,Co-U,,,,,,,,
8,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,reading annotations and trying to figure out the utility of each variable,more examples of what each property does,0,A-U,,,EC-W,,,,,,,,
9,OpenLayers,,0,FALSE,FALSE,TRUE,TRUE,There were relevant examples in the example code which could be directly applicable to the task at hand.,"Some of the jargon code [?] was difficult to follow and some of the variables were confusing, i.e. layers, keyboardEventTarget, and target.",0,C-W-Sp,,,EC-U VN-X,,,,,,,,
10,OpenLayers,,0,FALSE,TRUE,FALSE,TRUE,Read the annotations and code. I think teh code for this library is more straight forward than the other libraries.,Explanations of what all the parameters mean in the function calls.,0,A-U F-W-Sp,,,,,,,,,,,
11,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,"The JS example code and output, which looked highly similar to task code was really helpful",Better explanations of the numbers within lines like for 'Layers': 'noNEI_HR_LC_SR_W_DR' what does this mean?,0,C-W-Sp F-W-Sp,,,EC-U,,,,,,,,
12,OpenLayers,,0,FALSE,TRUE,FALSE,FALSE,Copying code after finding the correct function. I need ctrl+f to find key words.,"more detailed documentations on how the functions work, and what functions it have for example I start to stuck at how to add another layer if it already have one.",0,F-W-Sp,,,EC-U CP-U,,,S-U,,,,,
13,OpenLayers,,0,FALSE,FALSE,FALSE,TRUE,"The first task was essentially copy & paste. Without understanding why it work or what it was doing in depth, I saw that it was the only way that it could be accomplished. The broad comments helped point me to code sections, but did not help my understanding.","Information on the actual api, rather than ""this code does this.""",0,,,D-W,EC-U CP-U,,,,,,,,
14,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,* comparing the example code/map to the task * reading through the example code and finding keywords * guess and check,* Comments before every chunk of code that explains how it affects the map view * method/parameter descriptions,0,T-W-Sp F-W-Sp,,,EC-U Cm-W,,,,,Exp-U,,,
16,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,"This time, the task indicated a specific function name to use. Also, by comparing the visual in the example, I could figure out which part of the template was directly related to the task I should tackle. Function keyword + visual cues.","This is just the same situation when developing in home -- what I don't know, that remains just unknown. I don't feel I need additional information until that is directly involved in the problem I'm solving?",0,,N-W,TD-U,EC-U FN-U,,,,,,,,
17,OpenLayers,,0,FALSE,FALSE,FALSE,TRUE,"I mainly looked for differences between the 'desired' code (or the aspects which were desired) and my code. However I got stuck on teh latitude/longitude lines as I couldn't find the discrepancy or anything in the code / templates referencing latitude / longitude lines. Since I got stuck on this point, I never moved forward to get a greater understanding of the program as a while.",Normally if I were trying to add lat/longitude lines I would google that specific problem / libraries necessary.,0,C-W-Sp,,,EC-U,,,,,,,,want google
18,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,"1) Annotations are very helpful in the example 2) ""Control-F"" find also helped me.","I'm not sure how to set color in hex ""#3399cc"", so I used rgba to setup the correct color.",0,A-U F-W,,,,,,S-U,,,,,
19,OpenLayers,,0,FALSE,FALSE,TRUE,FALSE,Annotations describing what stuff does such as explans what graticle is and what options the object has. Would not have done that part without assistance [?] [?]. Examples were also great and not only hepled [?] but ^ understands of OpenLayers,More time. [?] then made little progress [?] [?] [?] if given more time. Not as lost and hopeless as [?] [?] [?],0,A-U F-U,,,EC-U,,Ti-W,,,,,,
20,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,the example code was simple and short different features were used in different images or maps (country lines vs shapes),more documented more comprehensive example (some features weren't used in example),0,,,D-W,EC-U EC-W EC-2-U,,,,,,,,
21,OpenLayers,,0,FALSE,TRUE,TRUE,FALSE,"A lot of the information about what options an object takes were useful, as well as information about where to start tasks.","It may have helped if I were more familiar with maps, but I felt this project would be more doable.",0,F-U-sp C-W-Sp,,TD-U,,,,,PK-C-W,,,,
22,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,"Testing and editing and test again, copy and paste code from the example and see what it does",Documentation about specific functions (maybe w/i the example (ie click on a function and then it shows you the documentation)),0,F-W-Sp,,,CP-U,,,,,Exp-U,,,
23,OpenLayers,,0,FALSE,TRUE,FALSE,FALSE,"The example code, especially the example of how to use the projection, and the country vector example. I always copy and pasted, and when that didn't work, guess and check.","API documentation, an example of how to change part of the map was visible[?], source code for the library.",0,,,D-W HT-W,EC-U CP-U EC-W,,,,,Exp-U,,,
24,OpenLayers,,at 7:30 / 15 min I noticed the console wasn't open and therefore refreshing the page wasn't working,TRUE,TRUE,TRUE,TRUE,"Comparing the output of hte example maps with teh code that produced them, and cross referencing to the fact annotations for several of the methods","Information about the objects I was manipulating, what they were representing",at 7:30 / 15 min I noticed the console wasn't open and therefore refreshing the page wasn't working,F-U,,,EC-U,,,,,,,,unclear
25,OpenLayers,,0,FALSE,FALSE,TRUE,TRUE,Looking at the annotated code first to see what the variable mean,Comments in the annotated code that said what the code did. It's just separated by blank lines and,0,,,,EC-U EC-Cm-W,,,,,,,,
26,OpenLayers,,0,FALSE,TRUE,FALSE,TRUE,"example code, instant feedback in the next window","I got really confused a the the wording on q1, thought I was suppsed to change that variable, but I think I just misread/misunderstood I like openlayers! this map stuff makes sense,",0,,,TD-X,EC-U,,,,,Exp-U,,,
27,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,"""- trial and error - comparing w/ example code""","""- Interactive definitions of properties - documentation to read about properties""",0,F-W-Sp,,,EC-U,,,,,Exp-U,,,
28,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,The different example code with annotations are kind of helpful,A tutorial on modifying maps using open layers,0,A-U~,,Tu-W,EC-U~,,,,,,,,
29,OpenLayers,,0,FALSE,FALSE,FALSE,TRUE,"Detailed reading of the example code. The templates were of little help, but I did utilize it once. The issue was that the params were not the same, and I [?].","I got very stuck making the connection between a Gratucule and Lat + Long. These don't seem to have a connection to me, but it could just be my lack of geography knowledge. More descriptive comments in the started code would have been good.",0,T-X~ C-W-Sp,,,EC-U TC-Cm-W,,,,,,,,
30,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,I liked having the working code with the example code running. It was helpful to see what the working code makes[?]. I also just copied differnt aspects of the example code into my own to see what changed and if it was what my goal was.,I think some additional information regarding all the parameters in the proj4.defs() and sphereMollweideProjection() woudl have been helpful. Also annotating where map1 code anded and map2 code began.,0,F-W-Sp,,,EC-U EC-W CP-U,,,,,Exp-U,,,
31,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,"Reading the template from the ""Annotated code"" page was helpful to figure out the format of the codes.",0,0,,,,EC-U,,,,,,,,
32,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,Adding elements from the examples and seeing what the effect was helped.,Comments on the source code would be helpful & another Example map would have been nice. I also would have liked to be able to alter their example maps to see what things do.,0,,,,EC-U EC-W TC-Cm-W,,,,,Exp-U Exp-W,,,
33,OpenLayers,,0,FALSE,TRUE,TRUE,FALSE,I thought rereading over the definitions of what certain concepts meant or what some lines did were helpful - I also tried compared[?] the example code with my code to see what was similar and what was [?] - I also reverted back to just brute forcing changes whatever lines I thought would do something and see what the outcome was,I would like to have wanted to see like maybe when we clicked on annotation to see maybe a gif or image of what that piece of code did,0,C-U A-W,,,EC-U,,,,,Exp-U,,,want to see effect of different lines in example
34,OpenLayers,,0,FALSE,FALSE,TRUE,FALSE,"Seeing the Annotated code and Example helped a lot Taking the time to actually read the notes, it did a good job defining what was possible / isn't","I had issues with the first step ebcause I had no idea ""what"" to change or add to the variable 'sphereMollweideProjection' to make it a rounded map. After reading the rest of the steps now (I stayed on step 2[?]) ... I probably finally realized what teh end result should actually be.",0,F-U,,,EC-U,,,,,,,,
35,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,Comparing the behaviors of 2 maps in the source code.,Some explanations on what the sphereMollweideProjection does and Template guidance (for layers).,0,C-W-Sp T-W,,,EC-U EC-2-U,,,,,,,,
36,OpenLayers,,0,FALSE,TRUE,FALSE,FALSE,The provided in-depth example was helpful but not very informative,Additional explanation on teh graticules. I was only able to get a couple to show up and I had no idea how to get the rest of them there. Having more explanation into how to use the API would have been helpful.,0,F-W-Sp,,D-W,EC-U~,,,,,,,,
37,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,"I didn't really find any helpful, this was very confusing",More detailed information in the concepts and facts about the key structures and attributes,0,C-W F-W,N-U,,,,,,,,,,
38,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,Annotations search because the annotations would not stay up if you hover on the other screen. It was difficult to get specific information while going back and forth so being able to search for what you want was helpful. It gave information about large chunks of code & sorting through it was a bit easier 2/ search & clicking certain words.,The annotations for any particular line / function clicked. It was hard to get the information I wanted to find because too much was there to clutter the screen (had to sort through them to find one I wanted).,0,,,,,TMI,,S-U,,,,,
39,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,ctrl-f through example code to see how data flows. copy paste directly from example code.,"A high level description fo source / layer / views documentation of functions. what the magic numbers mean [Researcher note: magic #s in our intro courses refer to #s in code without any name indicating their meaning] - I assume they are standard projection models. [?] the library switches patterns, i.e. using layers attribute some times and addLayer other times why it uses an undescriptive name ""ol""",0,C-W-Sp F-W-Sp,,OD-W,EC-U VN-X CP-U,,,S-U,,,,,
40,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,"Find the map closest to what I was trying to do in the exmaple and see how it differed from other map. E.g. to add lat/long key difference was ""graticule""",Couldn't figure out how to white out the map outside of lat/long area. Would have liked to see an example map that did that (or been able to Google!) Also having annotations would help a lot!,0,A-W,,,EC-U EC-W,,,,,,,,
41,OpenLayers,,0,FALSE,FALSE,TRUE,FALSE,"Annotations are useful. I can know what the line of code do through the annotations. however, sometimes I couldn't find the featurese I want to achieve the goals.",I want more example codes with each annotation.,0,F-U,,,EC-W,,,,,,,,
42,OpenLayers,,0,FALSE,TRUE,TRUE,FALSE,It was nice having 2 examples with different strategies to pick and choose which elements to apply.,"""graticule"" was an unfamiliar word that I didn't find until control-F ing for ""lattitude"" ... maybe having that more explicitly associated with lat/long",0,C-U-Sp C-W-Sp,,,EC-U EC-2-U,,,,,,,,
43,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,* Looking at the differences between my code and the example code to see what I was missing that my map needed * Looking at what the code was doing and how that was utilizing when drawing the map (looking at how the components fit together) * The [?] coordination[?] of the code (where it was made and where the code was utalized later on in the code],* How to clear off the polygons on the map once I drew them (example map with red outlines) * What the different parts of the spheremolylweide projection did,0,F-W-Sp,,HT-W,TC-U EC-U,,,,,,,,
44,OpenLayers,,0,FALSE,TRUE,FALSE,FALSE,"Unlike the first activity, this one had much more descriptive variable names, which really helped me a lot. When looking at unfamiliar code, descriptive variable and method names make a world of difference.","Some brief explanation in teh annotated code about what the layers parameters mean. A string like ""re:NE1_HR_LC_SR_w_DR' is very esoteric. Knowing whether or not the parameters are relevant to the tasks would have helped.",0,F-W-Sp C-W-Sp,,,VN-U,,,,,,,,
45,OpenLayers,,0,FALSE,FALSE,TRUE,TRUE,"The screenshots in the packet and the annotations for the example code, especially the sphere mollweide projection annotation.","How to add longitude and latitude lines to the map, because that was unclear, but adding country lines seemed to be explained better.",0,A-U C-W-Sp,,TD-U HT-W,,,,,,,,,
46,OpenLayers,,0,FALSE,TRUE,FALSE,TRUE,I really liked having an example similar to what I was doing and I consistently used it in completing the tasks.,"I think I would've enjoyed more of a step by step on what exactly each line was doing. There are still some mysteries in the example, especially around the polygons",0,A-W A-W-Sp,,,EC-U,,,,,,,,
47,OpenLayers,,0,FALSE,FALSE,FALSE,TRUE,how to implement certain variables when calculating the map like with the sphereMollweideProj. and just more detail in instruction.,"What can polygon actually look like before using it, so you can see if that variable type is what you want to use in this case. Also an explanation on all the numbers would have been more helpful in understanding the code.",0,F-W-Sp C-W-Sp,,TD-W,,,,,,,,,unclear question about polygons
48,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,descriptive templates and explicit explanations of what parameters mean. I didn't know what the latitude and longitude lines were called but typing the keywords in teh search helped me find the correct term and the tools I needed to use,I think the documentation could've been more descriptive,0,T-U F-U-Sp C-U-Sp,,D-W,,,,S-U,,,,,
51,OpenLayers,,0,FALSE,TRUE,TRUE,FALSE,"""Find on page"" feature for finding keywords in example code. Annotation search was not very helpful. Comparing code from example to the code (I'm[?] wokring on allowed me to build a basic understanding of how code should be structured / used.","Commenting in the example code that would show up in a CTRL+F search. Annotating complicate search process and are too are too [?] for a quick reference, in my opinion.",0,A-X,,,EC-U EC-Cm-W,TMI,,S-U,,,,,
54,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,"""- searching using the search bar (i.e. gratucule) - comparing code from MAP1 & MAP2 to see differences in effects. - copy pasting code""","""- specifics on how to cover oval shape of earth, i.e. using linear ring or Some function - full documentation & google / stackoverflow""",0,T-W-Sp,,,EC-U EC-2-U CP-U,,,S-U,,,,,want full documentation & google / stackoverflow
57,OpenLayers,,0,FALSE,FALSE,TRUE,TRUE,"The example code. This isn't a concept heavy library, so as long as there was an example of how to do something, that was the extent of understanding required.","N/A, I just didn't get all the way through because I misread an example at the start.",0,,N-W,,EC-U EC-W+?,,,,,,,,not concept heavy library
60,OpenLayers,,0,FALSE,TRUE,TRUE,FALSE,"I mainly referenced the example code output. I used ctrl-F to find specific key words in teh code (e.g. ""latitude"") and the opened that code. I didn't look at teh annotations very much.",I think there was plenty of info here. Maybe more on optional parameters?,0,A-X~ C-U-Sp F-W-Sp,,,EC-U,,,S-U (lattitude),,,,,
61,OpenLayers,,0,FALSE,FALSE,FALSE,TRUE,"Trial and Error was most helpful. The templates and example code gave enough information where I didn't suffer too much from a ""what can I type?"" issue, but they didn't explain meaning at all. So I just ahd to take the example code and repeat trial and error.",I would have wanted a high-level overview of the capabilities and features of the library. What is a vector? What is a layer? etc.,0,T-U C-W-Sp F-W-Sp,,OD-W,EC-U,,,,,Exp-U,,,
67,OpenLayers,,0,FALSE,TRUE,TRUE,TRUE,"The information about sphere projection in example code was definitely helpful. I looked at the example mapst to see if the feature I wanted to build is there, then looked back at the example code to see how it is written.","It'd be nice if wer are given the overview of ol. LIke I wasn't aware of all the different parts (ol.source.vector, ol.layer.vector, ol.View, ol.map) early on, so I was lost for a bit.",0,,,OD-W,EC-U,,,,,,,,
69,OpenLayers,,0,FALSE,FALSE,FALSE,FALSE,"""- try to understand the example code from the variable names. - try plugging in code from the example to the index.js.""","""- comment on which part of the example does. - document for each functions in the Code.""",0,F-W-Sp,,,EC-U EC-VN-U EC-Cm-W,,,,,Exp-U,,,
1,Threejs,,0,FALSE,TRUE,FALSE,FALSE,"Looking at the example code and just seeing what commands made what shapes was kinda helpful, but I also didn't get much done","How to alter shapes I guess, because I got stuck when I created something called a Torus, but it looked like a hexagon.",0,F-W-Sp,,,EC-U,,,,,,,,
2,Threejs,,0,FALSE,FALSE,FALSE,TRUE,"The tamplate of the code, & also the example source code. The most helpful strategies is the",The corresponding description of information/graphical representation,0,T-U,,D-W,EC-U,,,,,,,,
3,Threejs,,0,FALSE,TRUE,TRUE,TRUE,I found the example code and the concept section are very helpful,"I would like to see more example code to creat different shapes and styles, like how to implement/add code base on the five basic Geometries.",0,C-U,,,EC-U EC-W,,,,,,,,
4,Threejs,,Did not understand run vs. refresh on this task,TRUE,FALSE,TRUE,TRUE,* Looking at the template and Facts from the example code * Reading the overall example code,"* Being able to subtract parts of the source code and see what it does to the example (visually) * Some words were not defined enough. * Comments in the actual example code, along with the template on the side",Did not understand run vs. refresh on this task,T-U F-U C-W-Sp,,,EC-U EC-Cm-W EC-W,,,,,Exp-W,,,
5,Threejs,,0,FALSE,FALSE,FALSE,TRUE,"""- Reading all of the documentation - looking at the example""","""- list of all the shapes (plus examples) - more comments in the code of what the variables do""",0,C-W-Sp,,D-U,EC-U Cm-W,,,,,,,,
6,Threejs,,0,FALSE,TRUE,TRUE,FALSE,"""- Yet again, reading the given ""fact"" annotations of the annotated code was the most helpful in understanding how to use each function - Making slight changes to code and viewing the changes / errors in the ""run"" tab""","""- General information about the ""scene"", for example, what is the origin at?""",0,F-U F-W-Sp,,,,,,,,Exp-U,,,
7,Threejs,,0,FALSE,FALSE,FALSE,FALSE,"I looked at the different fields or functions that could be called on each of the objects and tried to figure out what they were doing. Some are labeled well and explain themselves such as position, but that doesn't explain what x & y mean in a context where the view moves.",Documentation of what fields or functions are available for Three objects,0,C-W-Sp F-W-Sp,,,VN-U,,,,,,,,
8,Threejs,,0,FALSE,TRUE,FALSE,TRUE,Looking through the annotations using the search,A list of all the properties the materials geometries etc. could have,0,A-U F-W-Sp,,,,,,S-U,,,,,
9,Threejs,,0,FALSE,FALSE,TRUE,FALSE,The facts on the example code were helpful and the ability to change my code and have it immedialy reflect on the screen made my changes effects easier to follow.,"A bit more of a tutorial on the ocean.js file as it took really long to understand what was going on in the initial code, which made it harder to complete the required tasks.",0,F-U,,Tu-W,,,,,,Exp-U,,,
10,Threejs,,0,FALSE,TRUE,FALSE,FALSE,Read the annotations and see the sample output,"The explanation of what parameters can (for example) THREE.sphereGeometry take? When I was trying to make a torus, my out put is always a six-sided shape rather than a smooth sicrlc, but I can't figure out why. Also, I wish I could have given more information about the ""camera"".",0,C-U F-W-sp,,,EC-U,,,,,,,,
11,Threejs,,0,FALSE,FALSE,TRUE,TRUE,Easy [?] application of Annotated Code into task code and proper definitions for materials' function variables.,Pretty self-sufficient. No external help required.,0,F-U-Sp,N-W,,EC-U,,,,,,,,
12,Threejs,,0,FALSE,FALSE,FALSE,FALSE,Carefully look at the example shapes with their code and guess what is for what.,No documents at all. Should at least list all teh functions and attributes for this one even the name of the object under my guess.,0,F-W-Sp,,,EC-U,,,,,,,,
13,Threejs,,0,FALSE,FALSE,FALSE,FALSE,"The code was fairly structured, so I was able to broadly understand what each step was doing enough to kind of know what I was attempting to replicate. Howeve, I had no idea what specific arguments did, or what methods/objects existed in THREE, so I couldn't do much with that understanding.",Documentation on the library. Knowing at least what to pass to an object constructor & where.,0,F-W-Sp,,D-W,EC-U,,,,,,,,
14,Threejs,,0,FALSE,TRUE,TRUE,TRUE,"* reading through the facts, templates and concepts * understanding which methods took which parameters * finding an example object that had similar features to what I wanted my object to look like",* different example method calls + resulting shape of that object with those parameters,0,F-U T-U C-U,,,EC-U EC-W,,,,,,,,
16,Threejs,,0,FALSE,TRUE,TRUE,TRUE,"of course ctrl+F, but this time I actively used the annotation code. As teh task was creating an object, it was much easier to apporach the code (expectation that there will be a chunk of template corresponding to each object) -- That helped me to chose the most similar template form the example and tweak it.","In general, the function names in THREE was very intuitive but wished to have more detail about different facts (e.g. what is side? and doubleside?) Also, pulling the concept to the top (e.g. Torus) will be helpful (what is a tatra..blah?)",0,A-U T-U F-W,,,EC-U FN-U,,,S-U,,,,,Concepts at top
17,Threejs,,"Worked on the duped file instead of original one. Said this task seemed easier because it was just adding things. Noticed that the sphere was smoother and less ""polygonal"" than the other shapes, and deduced that torus took other parameters.",TRUE,FALSE,FALSE,FALSE,"This problem seemed easier - the example code seemed more clearly applicable to the task, so I mainly just copied / pasted code and tweaked what was needed. Not having annotations was difficult in that I had to guess the parameters of certain methods, but it aslo meant I had fewer inputs of things to consider, which simplified my process.","Which parameters meant what - i.e., some library documentation","Worked on the duped file instead of original one. Said this task seemed easier because it was just adding things. Noticed that the sphere was smoother and less ""polygonal"" than the other shapes, and deduced that torus took other parameters.",F-W-Sp,,D-W,EC-U CP-U,not-TMI-U,,,,,,,
18,Threejs,,0,FALSE,TRUE,TRUE,FALSE,"1) The 3D visualization of geometric shapes in the documents/annotation is very helpful. 2) The annotation is very helpful in general, which I need to learn the parameters of the function calls.","The illustration and effects for the parameters in function call. I wasted a lot of time on learning how to make a perfect circle the ""TorusGeometry""",0,C-U-Sp A-U F-W-Sp,,,,,,,,,,,
19,Threejs,,0,FALSE,FALSE,FALSE,FALSE,Copying and testing[?] segments of code to see what it did. Then changing numbers to see what those values did.,"Documentation or annotations. [?] [?] out of the idea of how the code works did not know how to do anything outside of the given example. Could only replicate shapes and change values, not make new shapes",0,A-W,,D-W,EC-U CP-U,,,,,Exp-U,,,Good quote
20,Threejs,,0,FALSE,TRUE,TRUE,TRUE,the sample code was useful especially because of having different variety of images & shapes,the code was not well-documented. It was hard to find which function is for lighting and which is for color & which function makes which object. Again if it was more classified it would have been better.,0,F-W-Sp,,D-X,EC-U,,,,,,,,
21,Threejs,,0,FALSE,FALSE,TRUE,FALSE,Documentation on the geometry was useful,"My window (of the example source) wasn't scrolling (user error), so I didn't get to see how they were implementing reflective surfaces",0,F-U,,,,,,,,,,,Scrolling problem
22,Threejs,,0,FALSE,TRUE,TRUE,TRUE,Testing based on the example code,"I wish the documentation was better, I didn't know all my options for some of the function calls (specifically geometry type / material)",0,F-W-Sp,,D-W,EC-U,,,,,Exp-U,,,
23,Threejs,,0,FALSE,FALSE,FALSE,FALSE,"console.logging th three object and looking at the minified source code to learn what the parameters did. Copy pasting code for the terms[?]. Guessing and check with parameters and constants (radial segments for the torus, shininess for the specular material)",a template for the reflection example. [?] explanation for what the camera did.,0,T-W F-W-Sp,,,EC-U CP-U,,,,,Exp-U,,,Looked at minified library code
24,Threejs,,0,FALSE,TRUE,FALSE,TRUE,"Copying the example code to my JS program, which I knew would produce some specific shape, and then playing around with parameters for shape and material construction to try and get my desired result.",I would have wanted to know what the parameters were for the shape and material constructors,0,F-W-Sp,,,EC-U CP-U,,,,,Exp-U,,,
25,Threejs,,0,FALSE,FALSE,TRUE,FALSE,Reading the annotations and the names of the variables,A picture of the objects with the annotations More description for the parameters and show visually what they are,0,F-U C-W-Sp F-W-Sp,,,VN-U,,,,,,,,
26,Threejs,,0,FALSE,FALSE,FALSE,TRUE,template annotation,three.js documentation,0,T-U,,D-W,,,,,,,,,
27,Threejs,,0,FALSE,TRUE,TRUE,TRUE,"""- referencing annotations - explanations in anotations - Reading comments in code""","""- explanation of constants""",0,A-U F-W-Sp,,,Cm-U,,,,,,,,
